,relative_path,full_path,instrument,instrument_id
0,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1311__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1311__2.wav,pia,0
1,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1377__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1377__2.wav,pia,0
2,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1365__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1365__3.wav,pia,0
3,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1468__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1468__2.wav,pia,0
4,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1340__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1340__1.wav,pia,0
5,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1501__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1501__3.wav,pia,0
6,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1499__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1499__2.wav,pia,0
7,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1479__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1479__3.wav,pia,0
8,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1490__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1490__1.wav,pia,0
9,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1334__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1334__2.wav,pia,0
10,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1350__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1350__1.wav,pia,0
